CustomerID,Name,Email,Region,Segment
1,Customer 1,customer1@fabrikam.com,Asia,Enterprise
2,Customer 2,customer2@fabrikam.com,Europe,Business
3,Customer 3,customer3@fabrikam.com,South America,Consumer
4,Customer 4,customer4@fabrikam.com,Asia,Consumer
5,Customer 5,customer5@fabrikam.com,South America,Enterprise
6,Customer 6,customer6@fabrikam.com,Asia,Consumer
7,Customer 7,customer7@fabrikam.com,North America,Consumer
8,Customer 8,customer8@fabrikam.com,Asia,Consumer
9,Customer 9,customer9@fabrikam.com,North America,Consumer
10,Customer 10,customer10@fabrikam.com,North America,Enterprise
11,Customer 11,customer11@fabrikam.com,South America,Business
12,Customer 12,customer12@fabrikam.com,North America,Consumer
13,Customer 13,customer13@fabrikam.com,North America,Consumer
14,Customer 14,customer14@fabrikam.com,Asia,Business
15,Customer 15,customer15@fabrikam.com,Asia,Enterprise
16,Customer 16,customer16@fabrikam.com,North America,Business
17,Customer 17,customer17@fabrikam.com,Europe,Consumer
18,Customer 18,customer18@fabrikam.com,North America,Consumer
19,Customer 19,customer19@fabrikam.com,Asia,Enterprise
20,Customer 20,customer20@fabrikam.com,Asia,Business
21,Customer 21,customer21@fabrikam.com,Europe,Business
22,Customer 22,customer22@fabrikam.com,North America,Business
23,Customer 23,customer23@fabrikam.com,North America,Consumer
24,Customer 24,customer24@fabrikam.com,North America,Enterprise
25,Customer 25,customer25@fabrikam.com,Asia,Consumer
26,Customer 26,customer26@fabrikam.com,South America,Business
27,Customer 27,customer27@fabrikam.com,Asia,Consumer
28,Customer 28,customer28@fabrikam.com,North America,Business
29,Customer 29,customer29@fabrikam.com,Europe,Consumer
30,Customer 30,customer30@fabrikam.com,Europe,Business
31,Customer 31,customer31@fabrikam.com,Europe,Business
32,Customer 32,customer32@fabrikam.com,South America,Consumer
33,Customer 33,customer33@fabrikam.com,North America,Enterprise
34,Customer 34,customer34@fabrikam.com,Asia,Consumer
35,Customer 35,customer35@fabrikam.com,North America,Consumer
36,Customer 36,customer36@fabrikam.com,Asia,Enterprise
37,Customer 37,customer37@fabrikam.com,Asia,Business
38,Customer 38,customer38@fabrikam.com,Europe,Business
39,Customer 39,customer39@fabrikam.com,Asia,Enterprise
40,Customer 40,customer40@fabrikam.com,Asia,Consumer
41,Customer 41,customer41@fabrikam.com,Europe,Business
42,Customer 42,customer42@fabrikam.com,Asia,Enterprise
43,Customer 43,customer43@fabrikam.com,South America,Business
44,Customer 44,customer44@fabrikam.com,North America,Business
45,Customer 45,customer45@fabrikam.com,Europe,Enterprise
46,Customer 46,customer46@fabrikam.com,North America,Enterprise
47,Customer 47,customer47@fabrikam.com,Europe,Enterprise
48,Customer 48,customer48@fabrikam.com,Asia,Consumer
49,Customer 49,customer49@fabrikam.com,South America,Enterprise
50,Customer 50,customer50@fabrikam.com,Europe,Business
51,Customer 51,customer51@fabrikam.com,Asia,Enterprise
52,Customer 52,customer52@fabrikam.com,North America,Enterprise
53,Customer 53,customer53@fabrikam.com,Europe,Consumer
54,Customer 54,customer54@fabrikam.com,Europe,Enterprise
55,Customer 55,customer55@fabrikam.com,South America,Consumer
56,Customer 56,customer56@fabrikam.com,North America,Consumer
57,Customer 57,customer57@fabrikam.com,North America,Consumer
58,Customer 58,customer58@fabrikam.com,South America,Consumer
59,Customer 59,customer59@fabrikam.com,Europe,Consumer
60,Customer 60,customer60@fabrikam.com,South America,Enterprise
61,Customer 61,customer61@fabrikam.com,South America,Business
62,Customer 62,customer62@fabrikam.com,Asia,Business
63,Customer 63,customer63@fabrikam.com,North America,Consumer
64,Customer 64,customer64@fabrikam.com,South America,Business
65,Customer 65,customer65@fabrikam.com,South America,Consumer
66,Customer 66,customer66@fabrikam.com,Europe,Enterprise
67,Customer 67,customer67@fabrikam.com,Asia,Business
68,Customer 68,customer68@fabrikam.com,North America,Business
69,Customer 69,customer69@fabrikam.com,Asia,Consumer
70,Customer 70,customer70@fabrikam.com,Asia,Enterprise
71,Customer 71,customer71@fabrikam.com,South America,Business
72,Customer 72,customer72@fabrikam.com,Europe,Consumer
73,Customer 73,customer73@fabrikam.com,North America,Enterprise
74,Customer 74,customer74@fabrikam.com,Europe,Enterprise
75,Customer 75,customer75@fabrikam.com,South America,Business
76,Customer 76,customer76@fabrikam.com,South America,Enterprise
77,Customer 77,customer77@fabrikam.com,North America,Enterprise
78,Customer 78,customer78@fabrikam.com,South America,Enterprise
79,Customer 79,customer79@fabrikam.com,Asia,Consumer
80,Customer 80,customer80@fabrikam.com,North America,Enterprise
81,Customer 81,customer81@fabrikam.com,Asia,Business
82,Customer 82,customer82@fabrikam.com,South America,Business
83,Customer 83,customer83@fabrikam.com,Europe,Consumer
84,Customer 84,customer84@fabrikam.com,North America,Consumer
85,Customer 85,customer85@fabrikam.com,Europe,Enterprise
86,Customer 86,customer86@fabrikam.com,Asia,Business
87,Customer 87,customer87@fabrikam.com,South America,Enterprise
88,Customer 88,customer88@fabrikam.com,Asia,Consumer
89,Customer 89,customer89@fabrikam.com,Europe,Business
90,Customer 90,customer90@fabrikam.com,South America,Consumer
91,Customer 91,customer91@fabrikam.com,Europe,Enterprise
92,Customer 92,customer92@fabrikam.com,South America,Business
93,Customer 93,customer93@fabrikam.com,South America,Consumer
94,Customer 94,customer94@fabrikam.com,Europe,Business
95,Customer 95,customer95@fabrikam.com,Europe,Business
96,Customer 96,customer96@fabrikam.com,Europe,Business
97,Customer 97,customer97@fabrikam.com,Europe,Consumer
98,Customer 98,customer98@fabrikam.com,Europe,Consumer
99,Customer 99,customer99@fabrikam.com,South America,Business
100,Customer 100,customer100@fabrikam.com,North America,Consumer
101,Customer 101,customer101@fabrikam.com,South America,Business
102,Customer 102,customer102@fabrikam.com,South America,Business
103,Customer 103,customer103@fabrikam.com,Europe,Enterprise
104,Customer 104,customer104@fabrikam.com,Europe,Business
105,Customer 105,customer105@fabrikam.com,Europe,Consumer
106,Customer 106,customer106@fabrikam.com,North America,Enterprise
107,Customer 107,customer107@fabrikam.com,South America,Business
108,Customer 108,customer108@fabrikam.com,Europe,Enterprise
109,Customer 109,customer109@fabrikam.com,Asia,Consumer
110,Customer 110,customer110@fabrikam.com,North America,Consumer
111,Customer 111,customer111@fabrikam.com,North America,Consumer
112,Customer 112,customer112@fabrikam.com,Europe,Consumer
113,Customer 113,customer113@fabrikam.com,Asia,Consumer
114,Customer 114,customer114@fabrikam.com,North America,Business
115,Customer 115,customer115@fabrikam.com,Europe,Enterprise
116,Customer 116,customer116@fabrikam.com,North America,Business
117,Customer 117,customer117@fabrikam.com,Europe,Enterprise
118,Customer 118,customer118@fabrikam.com,Asia,Enterprise
119,Customer 119,customer119@fabrikam.com,Asia,Enterprise
120,Customer 120,customer120@fabrikam.com,South America,Consumer
121,Customer 121,customer121@fabrikam.com,Asia,Business
122,Customer 122,customer122@fabrikam.com,South America,Consumer
123,Customer 123,customer123@fabrikam.com,Europe,Consumer
124,Customer 124,customer124@fabrikam.com,Europe,Enterprise
125,Customer 125,customer125@fabrikam.com,Europe,Consumer
126,Customer 126,customer126@fabrikam.com,South America,Business
127,Customer 127,customer127@fabrikam.com,North America,Business
128,Customer 128,customer128@fabrikam.com,Europe,Consumer
129,Customer 129,customer129@fabrikam.com,Europe,Enterprise
130,Customer 130,customer130@fabrikam.com,Asia,Enterprise
131,Customer 131,customer131@fabrikam.com,Asia,Business
132,Customer 132,customer132@fabrikam.com,North America,Consumer
133,Customer 133,customer133@fabrikam.com,Europe,Enterprise
134,Customer 134,customer134@fabrikam.com,Europe,Enterprise
135,Customer 135,customer135@fabrikam.com,Asia,Enterprise
136,Customer 136,customer136@fabrikam.com,North America,Business
137,Customer 137,customer137@fabrikam.com,North America,Consumer
138,Customer 138,customer138@fabrikam.com,North America,Consumer
139,Customer 139,customer139@fabrikam.com,North America,Enterprise
140,Customer 140,customer140@fabrikam.com,Europe,Consumer
141,Customer 141,customer141@fabrikam.com,Europe,Consumer
142,Customer 142,customer142@fabrikam.com,North America,Business
143,Customer 143,customer143@fabrikam.com,North America,Enterprise
144,Customer 144,customer144@fabrikam.com,North America,Consumer
145,Customer 145,customer145@fabrikam.com,Europe,Enterprise
146,Customer 146,customer146@fabrikam.com,South America,Consumer
147,Customer 147,customer147@fabrikam.com,North America,Enterprise
148,Customer 148,customer148@fabrikam.com,North America,Business
149,Customer 149,customer149@fabrikam.com,North America,Enterprise
150,Customer 150,customer150@fabrikam.com,North America,Enterprise
151,Customer 151,customer151@fabrikam.com,Europe,Consumer
152,Customer 152,customer152@fabrikam.com,North America,Enterprise
153,Customer 153,customer153@fabrikam.com,Europe,Consumer
154,Customer 154,customer154@fabrikam.com,South America,Enterprise
155,Customer 155,customer155@fabrikam.com,Europe,Consumer
156,Customer 156,customer156@fabrikam.com,Europe,Business
157,Customer 157,customer157@fabrikam.com,Asia,Consumer
158,Customer 158,customer158@fabrikam.com,South America,Business
159,Customer 159,customer159@fabrikam.com,South America,Enterprise
160,Customer 160,customer160@fabrikam.com,Asia,Enterprise
161,Customer 161,customer161@fabrikam.com,Asia,Consumer
162,Customer 162,customer162@fabrikam.com,Europe,Business
163,Customer 163,customer163@fabrikam.com,Asia,Enterprise
164,Customer 164,customer164@fabrikam.com,South America,Consumer
165,Customer 165,customer165@fabrikam.com,South America,Consumer
166,Customer 166,customer166@fabrikam.com,North America,Enterprise
167,Customer 167,customer167@fabrikam.com,Asia,Consumer
168,Customer 168,customer168@fabrikam.com,North America,Enterprise
169,Customer 169,customer169@fabrikam.com,Asia,Enterprise
170,Customer 170,customer170@fabrikam.com,North America,Enterprise
171,Customer 171,customer171@fabrikam.com,South America,Consumer
172,Customer 172,customer172@fabrikam.com,Asia,Business
173,Customer 173,customer173@fabrikam.com,Europe,Consumer
174,Customer 174,customer174@fabrikam.com,South America,Consumer
175,Customer 175,customer175@fabrikam.com,Europe,Business
176,Customer 176,customer176@fabrikam.com,South America,Consumer
177,Customer 177,customer177@fabrikam.com,Europe,Enterprise
178,Customer 178,customer178@fabrikam.com,South America,Business
179,Customer 179,customer179@fabrikam.com,Europe,Business
180,Customer 180,customer180@fabrikam.com,South America,Enterprise
181,Customer 181,customer181@fabrikam.com,South America,Business
182,Customer 182,customer182@fabrikam.com,Europe,Business
183,Customer 183,customer183@fabrikam.com,Asia,Consumer
184,Customer 184,customer184@fabrikam.com,South America,Enterprise
185,Customer 185,customer185@fabrikam.com,North America,Business
186,Customer 186,customer186@fabrikam.com,North America,Business
187,Customer 187,customer187@fabrikam.com,Asia,Consumer
188,Customer 188,customer188@fabrikam.com,North America,Business
189,Customer 189,customer189@fabrikam.com,North America,Business
190,Customer 190,customer190@fabrikam.com,Europe,Enterprise
191,Customer 191,customer191@fabrikam.com,North America,Enterprise
192,Customer 192,customer192@fabrikam.com,Europe,Consumer
193,Customer 193,customer193@fabrikam.com,South America,Business
194,Customer 194,customer194@fabrikam.com,North America,Consumer
195,Customer 195,customer195@fabrikam.com,Europe,Consumer
196,Customer 196,customer196@fabrikam.com,North America,Consumer
197,Customer 197,customer197@fabrikam.com,Europe,Business
198,Customer 198,customer198@fabrikam.com,Europe,Consumer
199,Customer 199,customer199@fabrikam.com,Asia,Consumer
200,Customer 200,customer200@fabrikam.com,South America,Business
201,Customer 201,customer201@fabrikam.com,Asia,Consumer
202,Customer 202,customer202@fabrikam.com,South America,Business
203,Customer 203,customer203@fabrikam.com,Europe,Consumer
204,Customer 204,customer204@fabrikam.com,North America,Consumer
205,Customer 205,customer205@fabrikam.com,Europe,Business
206,Customer 206,customer206@fabrikam.com,Asia,Enterprise
207,Customer 207,customer207@fabrikam.com,Asia,Business
208,Customer 208,customer208@fabrikam.com,North America,Enterprise
209,Customer 209,customer209@fabrikam.com,North America,Enterprise
210,Customer 210,customer210@fabrikam.com,Asia,Business
211,Customer 211,customer211@fabrikam.com,North America,Business
212,Customer 212,customer212@fabrikam.com,South America,Business
213,Customer 213,customer213@fabrikam.com,Europe,Business
214,Customer 214,customer214@fabrikam.com,Asia,Business
215,Customer 215,customer215@fabrikam.com,South America,Enterprise
216,Customer 216,customer216@fabrikam.com,South America,Business
217,Customer 217,customer217@fabrikam.com,Asia,Consumer
218,Customer 218,customer218@fabrikam.com,Asia,Consumer
219,Customer 219,customer219@fabrikam.com,North America,Consumer
220,Customer 220,customer220@fabrikam.com,Europe,Consumer
221,Customer 221,customer221@fabrikam.com,North America,Consumer
222,Customer 222,customer222@fabrikam.com,Asia,Consumer
223,Customer 223,customer223@fabrikam.com,Asia,Consumer
224,Customer 224,customer224@fabrikam.com,Europe,Enterprise
225,Customer 225,customer225@fabrikam.com,North America,Enterprise
226,Customer 226,customer226@fabrikam.com,South America,Enterprise
227,Customer 227,customer227@fabrikam.com,South America,Consumer
228,Customer 228,customer228@fabrikam.com,North America,Business
229,Customer 229,customer229@fabrikam.com,North America,Enterprise
230,Customer 230,customer230@fabrikam.com,South America,Consumer
231,Customer 231,customer231@fabrikam.com,North America,Consumer
232,Customer 232,customer232@fabrikam.com,Asia,Enterprise
233,Customer 233,customer233@fabrikam.com,Asia,Enterprise
234,Customer 234,customer234@fabrikam.com,Asia,Consumer
235,Customer 235,customer235@fabrikam.com,North America,Consumer
236,Customer 236,customer236@fabrikam.com,South America,Business
237,Customer 237,customer237@fabrikam.com,North America,Business
238,Customer 238,customer238@fabrikam.com,South America,Enterprise
239,Customer 239,customer239@fabrikam.com,Asia,Business
240,Customer 240,customer240@fabrikam.com,Europe,Enterprise
241,Customer 241,customer241@fabrikam.com,Europe,Business
242,Customer 242,customer242@fabrikam.com,Asia,Business
243,Customer 243,customer243@fabrikam.com,Europe,Consumer
244,Customer 244,customer244@fabrikam.com,Asia,Consumer
245,Customer 245,customer245@fabrikam.com,North America,Enterprise
246,Customer 246,customer246@fabrikam.com,Europe,Enterprise
247,Customer 247,customer247@fabrikam.com,South America,Enterprise
248,Customer 248,customer248@fabrikam.com,Europe,Business
249,Customer 249,customer249@fabrikam.com,Asia,Enterprise
250,Customer 250,customer250@fabrikam.com,Asia,Consumer
251,Customer 251,customer251@fabrikam.com,South America,Consumer
252,Customer 252,customer252@fabrikam.com,Europe,Enterprise
253,Customer 253,customer253@fabrikam.com,South America,Business
254,Customer 254,customer254@fabrikam.com,North America,Business
255,Customer 255,customer255@fabrikam.com,North America,Consumer
256,Customer 256,customer256@fabrikam.com,Asia,Enterprise
257,Customer 257,customer257@fabrikam.com,South America,Consumer
258,Customer 258,customer258@fabrikam.com,North America,Business
259,Customer 259,customer259@fabrikam.com,South America,Enterprise
260,Customer 260,customer260@fabrikam.com,Europe,Enterprise
261,Customer 261,customer261@fabrikam.com,Asia,Consumer
262,Customer 262,customer262@fabrikam.com,North America,Consumer
263,Customer 263,customer263@fabrikam.com,South America,Consumer
264,Customer 264,customer264@fabrikam.com,Asia,Consumer
265,Customer 265,customer265@fabrikam.com,Europe,Business
266,Customer 266,customer266@fabrikam.com,North America,Consumer
267,Customer 267,customer267@fabrikam.com,Asia,Business
268,Customer 268,customer268@fabrikam.com,South America,Consumer
269,Customer 269,customer269@fabrikam.com,Asia,Enterprise
270,Customer 270,customer270@fabrikam.com,North America,Enterprise
271,Customer 271,customer271@fabrikam.com,South America,Enterprise
272,Customer 272,customer272@fabrikam.com,Asia,Business
273,Customer 273,customer273@fabrikam.com,Asia,Consumer
274,Customer 274,customer274@fabrikam.com,Asia,Consumer
275,Customer 275,customer275@fabrikam.com,North America,Consumer
276,Customer 276,customer276@fabrikam.com,Europe,Enterprise
277,Customer 277,customer277@fabrikam.com,Europe,Business
278,Customer 278,customer278@fabrikam.com,South America,Consumer
279,Customer 279,customer279@fabrikam.com,South America,Enterprise
280,Customer 280,customer280@fabrikam.com,South America,Business
281,Customer 281,customer281@fabrikam.com,South America,Enterprise
282,Customer 282,customer282@fabrikam.com,Asia,Consumer
283,Customer 283,customer283@fabrikam.com,North America,Consumer
284,Customer 284,customer284@fabrikam.com,North America,Enterprise
285,Customer 285,customer285@fabrikam.com,Asia,Consumer
286,Customer 286,customer286@fabrikam.com,Asia,Business
287,Customer 287,customer287@fabrikam.com,Asia,Enterprise
288,Customer 288,customer288@fabrikam.com,South America,Business
289,Customer 289,customer289@fabrikam.com,North America,Consumer
290,Customer 290,customer290@fabrikam.com,South America,Business
291,Customer 291,customer291@fabrikam.com,Asia,Business
292,Customer 292,customer292@fabrikam.com,South America,Enterprise
293,Customer 293,customer293@fabrikam.com,North America,Business
294,Customer 294,customer294@fabrikam.com,Europe,Business
295,Customer 295,customer295@fabrikam.com,South America,Consumer
296,Customer 296,customer296@fabrikam.com,Asia,Business
